EXE_TotalDuration_min,FAIL_TotalDuration_min,READY_TotalDuration_min,POWER_OFF_TotalDuration_min,N_Change_EXE_READY,N_Change_EXE_FAIL,N_Change_EXE_POWER_OFF,N_Change_READY_FAIL,N_Change_READY_POWER_OFF,N_Change_FAIL_POWER_OFF,N_Change_POWER_OFF_EXE,DBSCAN_Cluster,Serial Number,Date,Subtechnology_Name_ITA
149,123,48,29,68,18,0,76,0,6,0,0,MC_0007,2025-03-01,sub_4
21,17,21,27,8,0,0,11,0,3,0,0,MC_0007,2025-03-03,sub_4
7,121,22,126,3,6,0,6,2,5,0,0,MC_0007,2025-03-05,sub_4
58,106,27,0,20,6,2,26,0,1,0,0,MC_0007,2025-03-06,sub_4
41,27,5,0,10,1,0,14,0,0,0,0,MC_0007,2025-03-10,sub_4
34,21,3,24,13,20,0,17,0,1,0,0,MC_0007,2025-03-11,sub_4
36,32,42,3,20,1,0,22,0,2,0,0,MC_0007,2025-03-12,sub_4
187,163,76,99,92,25,0,94,0,2,0,0,MC_0007,2025-03-13,sub_4
123,153,39,180,81,44,1,94,4,5,0,0,MC_0007,2025-03-14,sub_4
118,153,17,27,75,66,3,82,1,8,1,0,MC_0007,2025-03-17,sub_4
59,131,25,27,45,5,0,55,0,2,0,0,MC_0007,2025-03-18,sub_4
0,0,0,84,0,0,0,0,0,1,0,0,MC_0007,2025-03-27,sub_4
39,4,113,28,45,1,0,8,6,4,0,0,MC_0008,2025-03-01,sub_4
86,0,375,33,57,0,0,4,7,0,0,0,MC_0008,2025-03-03,sub_4
137,0,393,9,109,0,1,1,2,0,0,0,MC_0008,2025-03-04,sub_4
81,0,382,6,121,0,0,1,3,0,0,0,MC_0008,2025-03-05,sub_4
118,0,389,8,87,0,0,1,5,0,0,0,MC_0008,2025-03-06,sub_4
121,0,378,2,35,0,1,1,3,0,0,0,MC_0008,2025-03-07,sub_4
176,0,352,19,83,1,1,1,3,1,0,0,MC_0008,2025-03-10,sub_4
273,0,278,11,93,2,0,0,3,2,0,0,MC_0008,2025-03-11,sub_4
222,1,322,6,103,1,0,3,3,1,0,0,MC_0008,2025-03-12,sub_4
