EXE_TotalDuration_min,FAIL_TotalDuration_min,READY_TotalDuration_min,POWER_OFF_TotalDuration_min,N_Change_EXE_READY,N_Change_EXE_FAIL,N_Change_EXE_POWER_OFF,N_Change_READY_EXE,N_Change_READY_FAIL,N_Change_READY_POWER_OFF,N_Change_FAIL_READY,N_Change_FAIL_EXE,N_Change_FAIL_POWER_OFF,N_Change_POWER_OFF_EXE,N_Change_POWER_OFF_READY,N_Change_POWER_OFF_FAIL,Serial Number,Date,Subtechnology_Name_ITA,Shipment Date,Manufacturing Date,Cluster_Label
0,0,34,501,0,0,0,0,0,2,0,0,0,0,2,0,MC_0006,2025-03-03,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,MC_0006,2025-03-04,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
219,0,145,182,3,0,0,1,3,1,1,2,0,0,1,0,MC_0006,2025-03-05,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
66,0,205,268,3,0,0,3,0,2,0,0,0,0,2,0,MC_0006,2025-03-06,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
50,0,129,65,6,0,0,6,0,0,0,0,1,0,1,1,MC_0006,2025-03-07,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
49,0,156,1,6,0,0,6,1,1,1,0,0,0,0,0,MC_0006,2025-03-10,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
51,0,143,350,11,0,0,11,0,1,0,0,0,0,1,0,MC_0006,2025-03-11,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,MC_0006,2025-03-12,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
40,0,86,402,5,0,0,5,0,1,0,0,0,0,1,0,MC_0006,2025-03-13,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
37,0,26,472,4,0,0,4,0,1,0,0,0,0,1,0,MC_0006,2025-03-14,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,MC_0006,2025-03-17,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
36,0,249,255,21,0,0,21,0,3,0,0,1,0,3,1,MC_0006,2025-03-18,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,MC_0006,2025-03-19,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
136,3,287,109,18,2,0,17,8,2,7,3,0,0,2,0,MC_0006,2025-03-20,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Idle–Stable (High Ready Time)
205,1,154,178,4,0,0,2,2,2,0,2,2,0,2,2,MC_0006,2025-03-21,sub_3,2018-12-27 00:00:00.000,2018-12-13 00:00:00.000,Normal Operation (Balanced Use)
